,regioncode,p_cases,p_cases_error,p_fatalities,p_fatalities_error,p_recentcases,p_recentcases_error,p_cases_daily,p_cases_daily_error,p_stillsick,p_stillsick_error
1,ESAN,0.0597580886869048,0.00962412679287906,0.00256509924195847,0.00227096724242215,NA,NA,NA,NA,NA,NA
2,ESAR,0.0715345571980618,0.0144682932926478,0.0724108327985433,0.0919510157955384,NA,NA,NA,NA,NA,NA
3,ESAS,0.0615565129067283,0.00712806334055454,0.000466200466200466,0.00064580772245326,NA,NA,NA,NA,NA,NA
4,ESCN,0.0380895391524067,0.0066079398182026,0.00192917192961015,0.00134228146210885,NA,NA,NA,NA,NA,NA
5,ESCB,0.0281543869066388,0.00525624551918571,0,0,NA,NA,NA,NA,NA,NA
6,ESCL,0.0781149758405212,0.0137457940017479,0.00637953530958809,0.00399599989506183,NA,NA,NA,NA,NA,NA
7,ESCM,0.11152975168341,0.0140395704498278,0.0138085875683471,0.014846513151618,0,0,0,0,0,0
8,ESCT,0.0952625836414351,0.00953637747235143,0.0148303344134605,0.00419289914396365,NA,NA,NA,NA,NA,NA
9,ESEX,0.0695021622740692,0.0111260743667552,0.00316609544645479,0.0021829130720424,NA,NA,NA,NA,NA,NA
10,ESGA,0.0458148768805124,0.00844513172781369,0.00267108244160568,0.00350512004539156,NA,NA,NA,NA,NA,NA
11,ESIB,0.0520633261685499,0.00642364664817475,0.00718569065343259,0.00622235162113833,NA,NA,NA,NA,NA,NA
12,ESRI,0.07367102391304,0.0117298836576777,0,0,NA,NA,NA,NA,NA,NA
13,ESMD,0.190687928936469,0.0106073108044641,0.0169000188523698,0.00349385829115448,NA,NA,NA,NA,NA,NA
14,ESMC,0.0198966175570044,0.00398993873390286,0.00242736054646807,0.00335994144047166,NA,NA,NA,NA,NA,NA
15,ESNC,0.0495091636478504,0.00653145177652315,0.00125647273834908,0.00246103904511968,NA,NA,NA,NA,NA,NA
16,ESPV,0.0685110016498322,0.0104835104468048,0.00264527788209929,0.00255416680121264,NA,NA,NA,NA,NA,NA
17,ESVC,0.0540181981673406,0.00702931801828615,0.00268466957222054,0.0016099171606604,NA,NA,NA,NA,NA,NA
18,ESCE,0.0410141685309471,0.0218812960810788,0.0181818181818182,0.0220577437544834,NA,NA,NA,NA,NA,NA
19,ESML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
